hour_utc,close
2026-06-12 15:00:00+00:00,164.968994140625
2026-06-12 16:00:00+00:00,172.27999877929688
2026-06-12 17:00:00+00:00,169.1999969482422
2026-06-12 18:00:00+00:00,161.44000244140625
2026-06-12 19:00:00+00:00,161.27000427246094
2026-06-15 13:00:00+00:00,170.85000610351562
2026-06-15 14:00:00+00:00,173.6616973876953
2026-06-15 15:00:00+00:00,178.8800048828125
2026-06-15 16:00:00+00:00,183.3350067138672
2026-06-15 17:00:00+00:00,186.10330200195312
2026-06-15 18:00:00+00:00,183.39999389648438
2026-06-15 19:00:00+00:00,192.43499755859375
2026-06-16 13:00:00+00:00,209.58999633789062
2026-06-16 14:00:00+00:00,211.1199951171875
2026-06-16 15:00:00+00:00,216.55929565429688
2026-06-16 16:00:00+00:00,214.66000366210938
2026-06-16 17:00:00+00:00,212.9149932861328
2026-06-16 18:00:00+00:00,204.0500030517578
2026-06-16 19:00:00+00:00,202.0
2026-06-17 13:00:00+00:00,196.82009887695312
2026-06-17 14:00:00+00:00,190.42999267578125
2026-06-17 15:00:00+00:00,196.6999969482422
2026-06-17 16:00:00+00:00,198.41000366210938
2026-06-17 17:00:00+00:00,196.94000244140625
2026-06-17 18:00:00+00:00,195.50999450683594
2026-06-17 19:00:00+00:00,192.1999969482422
2026-06-18 13:00:00+00:00,180.0850067138672
2026-06-18 14:00:00+00:00,176.64999389648438
2026-06-18 15:00:00+00:00,173.10000610351562
2026-06-18 16:00:00+00:00,178.44590759277344
2026-06-18 17:00:00+00:00,180.03500366210938
2026-06-18 18:00:00+00:00,182.35000610351562
2026-06-18 19:00:00+00:00,184.97000122070312
2026-06-22 13:00:00+00:00,166.72500610351562
2026-06-22 14:00:00+00:00,169.13999938964844
2026-06-22 15:00:00+00:00,165.00999450683594
2026-06-22 16:00:00+00:00,165.0688018798828
2026-06-22 17:00:00+00:00,165.6699981689453
2026-06-22 18:00:00+00:00,158.75999450683594
2026-06-22 19:00:00+00:00,154.58999633789062
2026-06-23 13:00:00+00:00,155.80499267578125
2026-06-23 14:00:00+00:00,158.35000610351562
2026-06-23 15:00:00+00:00,163.60989379882812
2026-06-23 16:00:00+00:00,163.81500244140625
2026-06-23 17:00:00+00:00,160.32009887695312
2026-06-23 18:00:00+00:00,159.0850067138672
2026-06-23 19:00:00+00:00,156.05999755859375
2026-06-24 13:00:00+00:00,158.25
2026-06-24 14:00:00+00:00,158.15879821777344
2026-06-24 15:00:00+00:00,158.74119567871094
2026-06-24 16:00:00+00:00,155.3300018310547
2026-06-24 17:00:00+00:00,157.2100067138672
2026-06-24 18:00:00+00:00,156.69000244140625
2026-06-24 19:00:00+00:00,154.4199981689453
2026-06-25 13:00:00+00:00,152.13999938964844
2026-06-25 14:00:00+00:00,152.5800018310547
2026-06-25 15:00:00+00:00,151.0800018310547
2026-06-25 16:00:00+00:00,151.39999389648438
2026-06-25 17:00:00+00:00,153.35989379882812
2026-06-25 18:00:00+00:00,152.46499633789062
2026-06-25 19:00:00+00:00,153.00999450683594
2026-06-26 13:00:00+00:00,152.52999877929688
2026-06-26 14:00:00+00:00,156.40499877929688
2026-06-26 15:00:00+00:00,157.4199981689453
2026-06-26 16:00:00+00:00,156.16000366210938
2026-06-26 17:00:00+00:00,152.77000427246094
2026-06-26 18:00:00+00:00,151.6999969482422
2026-06-26 19:00:00+00:00,152.6699981689453
2026-06-29 13:00:00+00:00,153.82000732421875
2026-06-29 14:00:00+00:00,156.7899932861328
2026-06-29 15:00:00+00:00,156.60499572753906
2026-06-29 16:00:00+00:00,158.89999389648438
2026-06-29 17:00:00+00:00,160.02000427246094
2026-06-29 18:00:00+00:00,164.1699981689453
2026-06-29 19:00:00+00:00,164.0
2026-06-30 13:00:00+00:00,166.625
2026-06-30 14:00:00+00:00,171.25999450683594
2026-06-30 15:00:00+00:00,170.04010009765625
2026-06-30 16:00:00+00:00,169.92999267578125
2026-06-30 17:00:00+00:00,169.0
2026-06-30 18:00:00+00:00,171.23500061035156
2026-06-30 19:00:00+00:00,170.71949768066406
2026-07-01 13:00:00+00:00,162.0399932861328
2026-07-01 14:00:00+00:00,160.99989318847656
2026-07-01 15:00:00+00:00,159.80999755859375
2026-07-01 16:00:00+00:00,162.19200134277344
2026-07-01 17:00:00+00:00,158.78990173339844
2026-07-01 18:00:00+00:00,158.23500061035156
2026-07-01 19:00:00+00:00,157.72999572753906
