hour_utc,anchor_block,l1_gas_price_gwei,avg_gas_used,avg_gas_limit,utilization_pct,avg_tx_count,base_fee_gwei,n_blocks_sampled
2026-06-15T09:00:00+00:00,96691844,0.085082,140828,60000000,0.2347,2.33,50.00,6
2026-06-15T10:00:00+00:00,96693644,0.059970,63996,60000000,0.1067,1.17,50.00,6
2026-06-15T11:00:00+00:00,96695444,0.104420,188711,60000000,0.3145,2.33,50.00,6
2026-06-15T12:00:00+00:00,96697244,0.142678,120692,60000000,0.2012,1.50,50.00,6
2026-06-15T13:00:00+00:00,96699044,0.304589,520388,60000000,0.8673,3.00,50.00,6
2026-06-15T14:00:00+00:00,96700844,0.975967,271857,60000000,0.4531,2.17,50.00,6
2026-06-15T15:00:00+00:00,96702644,0.340075,161597,60000000,0.2693,2.00,50.00,6
2026-06-15T16:00:00+00:00,96704444,0.939876,275516,60000000,0.4592,2.50,50.00,6
2026-06-15T17:00:00+00:00,96706244,0.401808,158137,60000000,0.2636,1.83,50.00,6
2026-06-15T18:00:00+00:00,96708044,0.244705,108833,60000000,0.1814,1.33,50.00,6
2026-06-15T19:00:00+00:00,96709844,0.181716,243887,60000000,0.4065,2.33,50.00,6
2026-06-15T20:00:00+00:00,96711644,0.217569,51887,60000000,0.0865,1.00,50.00,6
2026-06-15T21:00:00+00:00,96713444,0.103910,67092,60000000,0.1118,1.17,50.00,6
2026-06-15T22:00:00+00:00,96715244,0.095104,81140,60000000,0.1352,1.33,50.00,6
2026-06-15T23:00:00+00:00,96717044,0.081156,76636,60000000,0.1277,1.50,50.00,6
2026-06-16T00:00:00+00:00,96718844,0.052641,160059,60000000,0.2668,1.83,50.00,6
2026-06-16T01:00:00+00:00,96720644,0.070584,81297,60000000,0.1355,1.17,50.00,6
2026-06-16T02:00:00+00:00,96722444,0.058809,140344,60000000,0.2339,1.67,50.00,6
2026-06-16T03:00:00+00:00,96724244,0.072224,63944,60000000,0.1066,1.33,50.00,6
2026-06-16T04:00:00+00:00,96726044,0.074763,83454,60000000,0.1391,1.67,50.00,6
2026-06-16T05:00:00+00:00,96727844,0.127596,72655,60000000,0.1211,1.17,50.00,6
2026-06-16T06:00:00+00:00,96729644,0.150135,140915,60000000,0.2349,1.83,50.00,6
2026-06-16T07:00:00+00:00,96731444,0.073655,161628,60000000,0.2694,2.50,50.00,6
2026-06-16T08:00:00+00:00,96733244,0.110536,69161,60000000,0.1153,1.33,50.00,6
2026-06-16T09:00:00+00:00,96735044,0.183519,137470,60000000,0.2291,2.17,50.00,6
2026-06-16T10:00:00+00:00,96736844,0.143845,327479,60000000,0.5458,2.33,50.00,6
2026-06-16T11:00:00+00:00,96738644,0.083108,129939,60000000,0.2166,1.83,50.00,6
2026-06-16T12:00:00+00:00,96740444,0.075714,1809059,60000000,3.0151,3.33,50.00,6
2026-06-16T13:00:00+00:00,96742244,0.218976,114409,60000000,0.1907,1.50,50.00,6
2026-06-16T14:00:00+00:00,96744044,0.206334,137394,60000000,0.2290,1.83,50.00,6
2026-06-16T15:00:00+00:00,96745844,0.445566,72224,60000000,0.1204,1.33,50.00,6
2026-06-16T16:00:00+00:00,96747644,0.330246,108262,60000000,0.1804,1.67,50.00,6
2026-06-16T17:00:00+00:00,96749444,0.236165,125236,60000000,0.2087,1.50,50.00,6
2026-06-16T18:00:00+00:00,96751244,0.170163,171212,60000000,0.2854,1.67,50.00,6
2026-06-16T19:00:00+00:00,96753044,0.138405,97980,60000000,0.1633,1.67,50.00,6
2026-06-16T20:00:00+00:00,96754844,0.112017,123228,60000000,0.2054,1.50,50.00,6
2026-06-16T21:00:00+00:00,96756644,0.070486,94688,60000000,0.1578,1.67,50.00,6
2026-06-16T22:00:00+00:00,96758444,0.106300,50026,60000000,0.0834,1.00,50.00,6
2026-06-16T23:00:00+00:00,96760244,0.120472,74458,60000000,0.1241,1.33,50.00,6
2026-06-17T00:00:00+00:00,96762044,0.090315,71833,60000000,0.1197,1.17,50.00,6
2026-06-17T01:00:00+00:00,96763844,0.092812,63940,60000000,0.1066,1.33,50.00,6
2026-06-17T02:00:00+00:00,96765644,0.111760,165508,60000000,0.2758,2.50,50.00,6
2026-06-17T03:00:00+00:00,96767444,0.109771,214680,60000000,0.3578,2.00,50.00,6
2026-06-17T04:00:00+00:00,96769244,0.085795,63942,60000000,0.1066,1.33,50.00,6
2026-06-17T05:00:00+00:00,96771044,0.090918,46297,60000000,0.0772,1.00,50.00,6
2026-06-17T06:00:00+00:00,96772844,0.117784,84948,60000000,0.1416,1.50,50.00,6
2026-06-17T07:00:00+00:00,96774644,0.104581,85608,60000000,0.1427,1.50,50.00,6
2026-06-17T08:00:00+00:00,96776444,0.108907,369114,60000000,0.6152,2.00,50.00,6
2026-06-17T09:00:00+00:00,96778244,0.118416,72762,60000000,0.1213,1.50,50.00,6
2026-06-17T10:00:00+00:00,96780044,0.147438,125690,60000000,0.2095,2.50,50.00,2
2026-06-17T11:00:00+00:00,96781844,0.159448,51426,60000000,0.0857,1.00,50.00,6
2026-06-17T12:00:00+00:00,96783644,0.132333,63302,60000000,0.1055,1.17,50.00,6
2026-06-17T13:00:00+00:00,96785444,0.292649,200144,60000000,0.3336,2.50,50.00,6
2026-06-17T14:00:00+00:00,96787244,0.370602,102742,60000000,0.1712,2.17,50.00,6
2026-06-17T15:00:00+00:00,96789044,0.438938,230219,60000000,0.3837,2.17,50.00,6
2026-06-17T16:00:00+00:00,96790844,0.417721,151376,60000000,0.2523,2.17,50.00,6
2026-06-17T17:00:00+00:00,96792644,0.226687,86307,60000000,0.1438,1.50,50.00,6
2026-06-17T18:00:00+00:00,96794444,0.257236,126568,60000000,0.2109,2.00,50.00,6
2026-06-17T19:00:00+00:00,96796244,0.129921,305613,60000000,0.5094,3.17,50.00,6
2026-06-17T20:00:00+00:00,96798044,0.181782,171922,60000000,0.2865,1.50,50.00,6
2026-06-17T21:00:00+00:00,96799844,0.172229,46297,60000000,0.0772,1.00,50.00,6
2026-06-17T22:00:00+00:00,96801644,0.144556,55252,60000000,0.0921,1.17,50.00,6
2026-06-17T23:00:00+00:00,96803444,0.129212,128497,60000000,0.2142,1.33,50.00,6
2026-06-18T00:00:00+00:00,96805244,0.169719,1645987,60000000,2.7433,5.17,50.00,6
2026-06-18T01:00:00+00:00,96807044,0.129124,50022,60000000,0.0834,1.00,50.00,6
2026-06-18T02:00:00+00:00,96808844,0.122146,97108,60000000,0.1618,1.50,50.00,6
2026-06-18T03:00:00+00:00,96810644,0.121375,75017,60000000,0.1250,1.33,50.00,6
2026-06-18T04:00:00+00:00,96812444,0.181871,116877,60000000,0.1948,2.33,50.00,6
2026-06-18T05:00:00+00:00,96814244,0.103532,135065,60000000,0.2251,1.67,50.00,6
2026-06-18T06:00:00+00:00,96816044,0.111043,1764723,60000000,2.9412,2.00,50.00,6
2026-06-18T07:00:00+00:00,96817844,0.123267,54331,60000000,0.0906,1.17,50.00,6
2026-06-18T08:00:00+00:00,96819644,0.145315,96572,60000000,0.1610,1.50,50.00,6
2026-06-18T09:00:00+00:00,96821444,0.110436,82076,60000000,0.1368,1.33,50.00,6
2026-06-18T10:00:00+00:00,96823244,0.149140,55116,60000000,0.0919,1.17,50.00,6
2026-06-18T11:00:00+00:00,96825044,0.234843,111554,60000000,0.1859,2.33,50.00,6
2026-06-18T12:00:00+00:00,96826844,0.289823,94511,60000000,0.1575,1.50,50.00,6
2026-06-18T13:00:00+00:00,96828644,0.193491,105534,60000000,0.1759,1.50,50.00,6
2026-06-18T14:00:00+00:00,96830444,0.479356,172837,60000000,0.2881,2.00,50.00,6
2026-06-18T15:00:00+00:00,96832244,0.368496,218970,60000000,0.3649,2.83,50.00,6
2026-06-18T16:00:00+00:00,96834044,1.755506,137909,60000000,0.2298,2.17,50.00,6
2026-06-18T17:00:00+00:00,96835844,0.328628,111802,60000000,0.1863,1.33,50.00,6
2026-06-18T18:00:00+00:00,96837644,0.186904,141244,60000000,0.2354,1.50,50.00,6
2026-06-18T19:00:00+00:00,96839444,0.139775,88804,60000000,0.1480,1.33,50.00,6
2026-06-18T20:00:00+00:00,96841244,0.150870,97215,60000000,0.1620,1.17,50.00,6
2026-06-18T21:00:00+00:00,96843044,0.136275,67332,60000000,0.1122,1.17,50.00,6
2026-06-18T22:00:00+00:00,96844844,1.054266,98435,60000000,0.1641,1.50,50.00,6
2026-06-18T23:00:00+00:00,96846644,0.122722,70326,60000000,0.1172,1.17,50.00,6
2026-06-19T00:00:00+00:00,96848444,0.137905,105041,60000000,0.1751,1.50,50.00,6
2026-06-19T01:00:00+00:00,96850244,0.131125,67326,60000000,0.1122,1.17,50.00,6
2026-06-19T02:00:00+00:00,96852044,0.534649,76295,60000000,0.1272,1.33,50.00,6
2026-06-19T03:00:00+00:00,96853844,0.132679,154853,60000000,0.2581,2.17,50.00,6
2026-06-19T04:00:00+00:00,96855644,0.110727,205779,60000000,0.3430,1.67,50.00,6
2026-06-19T05:00:00+00:00,96857444,0.130874,53595,60000000,0.0893,1.17,50.00,6
2026-06-19T06:00:00+00:00,96859244,0.057553,67216,60000000,0.1120,1.17,50.00,6
2026-06-19T07:00:00+00:00,96861044,0.115914,126952,60000000,0.2116,2.00,50.00,6
2026-06-19T08:00:00+00:00,96862844,0.084049,65805,60000000,0.1097,1.33,50.00,6
2026-06-19T09:00:00+00:00,96864644,0.087579,155290,60000000,0.2588,2.00,50.00,6
2026-06-19T10:00:00+00:00,96866444,0.068293,147983,60000000,0.2466,1.83,50.00,6
2026-06-19T11:00:00+00:00,96868244,0.074769,151305,60000000,0.2522,2.50,50.00,6
2026-06-19T12:00:00+00:00,96870044,0.089914,114574,60000000,0.1910,2.17,50.00,6
2026-06-19T13:00:00+00:00,96871844,0.225206,170838,60000000,0.2847,2.50,50.00,6
2026-06-19T14:00:00+00:00,96873644,0.218070,99739,60000000,0.1662,1.67,50.00,6
2026-06-19T15:00:00+00:00,96875444,0.171212,53989,60000000,0.0900,1.17,50.00,6
2026-06-19T16:00:00+00:00,96877244,0.199187,71889,60000000,0.1198,1.17,50.00,6
2026-06-19T17:00:00+00:00,96879044,0.237411,171926,60000000,0.2865,2.17,50.00,6
2026-06-19T18:00:00+00:00,96880844,0.125628,76460,60000000,0.1274,1.33,50.00,6
2026-06-19T19:00:00+00:00,96882644,0.168863,99736,60000000,0.1662,1.67,50.00,6
2026-06-19T20:00:00+00:00,96884444,0.147897,87734,60000000,0.1462,1.33,50.00,6
2026-06-19T21:00:00+00:00,96886244,0.167958,95389,60000000,0.1590,1.33,50.00,6
2026-06-19T22:00:00+00:00,96888044,0.101290,66308,60000000,0.1105,1.17,50.00,6
2026-06-19T23:00:00+00:00,96889844,0.220792,106930,60000000,0.1782,1.50,50.00,6
